,hash,default
0,6d4895cc9fe614cf3164891b1f502453312f64ca,0.00012627303312044767
1,0b9dcb2edef710bb35f1d5f8848fb5ba97990f7a,0.00012627303312044767
2,dba16cd9f155c858bdddb530cab9971bf9af75fc,0.00012627303312044767
3,ab37e1b29214bbfbe1fed28db68661160ca4acb6,0.00012627303312044767
4,a41d513df0bc100e36973d634b95ba86f710a508,0.00012627303312044767
5,a87ee593c3f5da5dcb42a8033ecbab0f0c9b7903,0.00012627303312044767
6,942add94ed3bbe479c2e6f5ca8e2a8a6d4ca4831,0.00012627303312044767
7,3cf4c289067b6df2ddf019eed3c9f73946d960a2,0.00012627303312044767
8,6e3be61d6113e63a1d1be54e6c8341760ded5842,0.00012627303312044767
9,9298eeb4f6c73ca1259f627860abe98b63f89da4,0.00012627303312044767
10,4771e3f30f53c33dd9e27eb9dcbe2b938a38e9ae,0.00012627303312044767
11,4317dadcf0758a287d3a0a2902d6064913b49b0f,0.00012627303312044767
12,e641d8b35484d786f399e8cd9349b2a6c09269d1,0.00012627303312044767
13,2ccfd794011ece560ba4bbeca6f9171176428a77,0.00012627303312044767
14,245525514ed55258521ed0cfb2a1b00bad85aadb,0.00012627303312044767
15,d0be29809a4c526d30afdb998bd6d0110b657dad,0.00012627303312044767
16,c3cd5414426b0e61c331671a69a58103dabacf5b,0.00012627303312044767
17,f7268a392b55430e968f67c51ed71799d4b02c2c,0.00012627303312044767
18,777894c478153272a8a5ff37f3199c6e2800e5d4,0.00012627303312044767
19,190dab07e0b88abafab2b6687d53a0c55b7a5b59,0.00012627303312044767
20,5925773e51fc427ba5d5dca9e72f5e28a6e7ade5,0.00012627303312044767
21,ded4fa6a0246e963a9fe2066c882d81981be906b,0.00012627303312044767
22,7abe543492fe1741cecf574885dcf0bba36f7057,0.00012627303312044767
23,3e8a54175b5b39700ddff4729f9764a5f789a445,0.00012627303312044767
24,084c1dc7524016a59248b811270e8e4d210b7c1d,0.00012627303312044767
25,d1add332f833a52baa69bba7f8d378e9dec37343,0.00012627303312044767
26,8bcf6bc30f33a6a36aea0eee2c72f06516b4b6bb,0.00012627303312044767
27,1c8efa16b296258e059a334e27e68428cf3cb48b,0.00012627303312044767
28,2c2291136aca50b58cd7c09b29a25490c89c9b8a,0.00012627303312044767
29,996e6419e44668a6daa28f58efcc0d2c07b3a9da,0.00012627303312044767
30,86fcce61c9cddbc354ba67b2f818670f5822c688,0.00012627303312044767
31,90177d698c61b9550e1e3033dd041e91f8e3c6c4,0.00012627303312044767
32,18a6e3e505ee416ddfc617f3e9afdff5a031c2c2,0.00012627303312044767
33,c43b2bfb15281e170cc5006829ebc559bd1915e3,0.00012627303312044767
34,58da484abf6f466a9e8bf55c188cb5b501d31ceb,0.00012627303312044767
